0 [5.00e-01, 5.00e-01]
1000 [4.90e-01, 4.83e-01]
2000 [4.79e-01, 4.72e-01]
3000 [4.60e-01, 4.50e-01]
4000 [4.28e-01, 4.15e-01]
5000 [3.74e-01, 3.57e-01]
6000 [2.92e-01, 2.75e-01]
7000 [1.94e-01, 1.54e-01]
8000 [1.12e-01, 7.60e-02]
9000 [8.20e-02, 4.77e-02]
10000 [7.84e-02, 4.36e-02]
11000 [7.83e-02, 4.42e-02]
12000 [7.87e-02, 4.52e-02]
13000 [7.94e-02, 4.58e-02]
14000 [7.95e-02, 4.51e-02]
15000 [8.01e-02, 4.60e-02]
16000 [8.11e-02, 4.60e-02]
17000 [8.26e-02, 4.66e-02]
18000 [8.20e-02, 4.67e-02]
19000 [8.12e-02, 4.16e-02]
20000 [8.20e-02, 4.63e-02]
21000 [8.22e-02, 4.67e-02]
22000 [8.24e-02, 4.66e-02]
23000 [8.32e-02, 4.68e-02]
24000 [8.12e-02, 4.63e-02]
25000 [8.23e-02, 4.71e-02]
26000 [8.25e-02, 4.68e-02]
27000 [8.17e-02, 4.62e-02]
28000 [8.30e-02, 4.63e-02]
29000 [8.26e-02, 4.68e-02]
30000 [8.28e-02, 4.67e-02]
