0 [5.00e-01, 5.00e-01]
1000 [4.89e-01, 4.89e-01]
2000 [4.89e-01, 4.89e-01]
3000 [4.89e-01, 4.89e-01]
4000 [4.89e-01, 4.87e-01]
5000 [4.86e-01, 4.81e-01]
6000 [4.81e-01, 4.68e-01]
7000 [4.74e-01, 4.51e-01]
8000 [4.62e-01, 4.26e-01]
9000 [4.48e-01, 3.98e-01]
10000 [4.26e-01, 3.61e-01]
11000 [3.95e-01, 3.18e-01]
12000 [3.45e-01, 2.60e-01]
13000 [2.85e-01, 2.05e-01]
14000 [2.28e-01, 1.62e-01]
15000 [1.52e-01, 1.09e-01]
16000 [7.80e-02, 5.74e-02]
17000 [4.52e-02, 3.85e-02]
18000 [2.55e-02, 1.96e-02]
19000 [2.38e-02, 2.31e-02]
20000 [2.89e-02, 2.91e-02]
21000 [3.81e-02, 3.68e-02]
22000 [1.46e-02, 1.14e-02]
23000 [2.58e-02, 2.40e-02]
24000 [4.26e-02, 4.09e-02]
25000 [4.38e-02, 4.20e-02]
26000 [3.42e-02, 3.24e-02]
27000 [3.70e-02, 3.53e-02]
28000 [2.22e-02, 1.99e-02]
29000 [3.89e-02, 3.71e-02]
30000 [3.50e-02, 3.33e-02]
